driver_id,applicant_fountain_id,pu_ca,predicted_driver_ca,no_packages
370121,7b57c475-3bd0-4789-baad-bb10f107ba0c,London Border NE,,557
392568,9feba856-2e83-4807-a816-0ab8447fa2fa,London Inner W,,1390
396294,330b49da-650f-4c70-b9f4-3fbabd99bca7,London Border N,,233
358109,55962150-7f36-4939-88c3-1d57c192e0cf,London Outer E,,3814
393264,4e2d0934-89a1-42db-84b0-9854c1d19eb1,London Outer S,London Outer S,332
337513,b3ca57ae-6d10-4c0a-a1f5-1569c56faeb6,London Border N,,1571
387527,7b741bab-7c8c-48eb-94eb-166185594f0f,London Outer Upper NW,,806
396745,6d07443e-d8c1-44e3-bab8-9b8c881d8405,London Inner S,,1500
400339,03043fbc-98e9-48a4-910f-e21a5821f63c,London Outer NE,London Border N,1228
369897,f82af664-2c48-47c3-af25-a5bbdbd022d1,London Outer N,,3405
358270,b849f29d-e50d-47a0-b9b7-d10cc5f0c6ed,Sunderland,,6355
398110,343f8312-395b-4b4b-9796-e42d01fd34d7,Manchester City,,324
399787,7246dfdc-8016-4167-93ad-24e3a744947f,London Outer SW,,3763
376829,80cc3097-abd1-4dad-abf6-9dd78e8d3a74,London Border N,,3540
370011,bd108ab7-05c4-46e4-9cca-e97cee0026cf,Nottingham Central,,1827
395311,69e14854-ba89-419c-9c89-16c14558f9d1,Exeter,,562
351011,03ffd12c-28da-4641-8c57-81b6d20e87c0,Dudley & West Bromwich,,3237
